Value	Std.Error	t-value	p-value	term	phylum	n	lambda	AIC
-329.675141786352	62.8382124411898	-5.24641184048471	3.0195832937395e-06	(Intercept)	Thermoproteota	57	0.38501094852147	368.452380483118
1.18081340939085e-06	2.15561646455766e-06	0.547784556671197	0.586229450327432	genome_size	Thermoproteota	57	0.38501094852147	368.452380483118
0.0454390677753442	0.19488101573123	0.233163130871667	0.816568034458992	gc_content	Thermoproteota	57	0.38501094852147	368.452380483118
586.636260556447	118.545402356044	4.94862094098361	8.54708569060726e-06	frac_ilvwygerkp	Thermoproteota	57	0.38501094852147	368.452380483118
-0.252283134450537	11.5452868022999	-0.0218516125905404	0.982651594808191	ratio_charged_polar	Thermoproteota	57	0.38501094852147	368.452380483118
0.60180449814437	0.25127697825313	2.39498461947488	0.0203321342864345	trna_gc	Thermoproteota	57	0.38501094852147	368.452380483118
-192.489080868715	128.143713384041	-1.50213440663946	0.142031802859648	(Intercept)	Thermoproteota	41	0.92152922935452	220.590651872508
-1.61674776584105e-06	2.29279555630454e-06	-0.705142576447975	0.485388103652388	genome_size	Thermoproteota	41	0.92152922935452	220.590651872508
-0.127102136038805	0.185597483762522	-0.684826827724865	0.497963612505479	gc_content	Thermoproteota	41	0.92152922935452	220.590651872508
242.094234765589	210.212727681482	1.15166306738769	0.257266055890987	frac_ilvwygerkp	Thermoproteota	41	0.92152922935452	220.590651872508
28.0325059806722	15.8522859722221	1.76835732271001	0.0857172961056154	ratio_charged_polar	Thermoproteota	41	0.92152922935452	220.590651872508
1.1254157368622	0.681027909336074	1.65252513360187	0.107371933983208	trna_gc	Thermoproteota	41	0.92152922935452	220.590651872508
-301.691104993165	61.6417790922728	-4.89426342710774	2.59626823599441e-06	(Intercept)	Thermoproteota	151	0.967049474523207	850.653208080336
5.02023055245372e-07	9.5848751418038e-07	0.523765878864537	0.60124101053626	genome_size	Thermoproteota	151	0.967049474523207	850.653208080336
0.113226125250308	0.151585390501852	0.746946159359101	0.456305537690894	gc_content	Thermoproteota	151	0.967049474523207	850.653208080336
450.59790524191	123.574022199072	3.64638050314506	0.000370004572739933	frac_ilvwygerkp	Thermoproteota	151	0.967049474523207	850.653208080336
3.67973638477902	11.6442792307103	0.316012379287004	0.752447536859258	ratio_charged_polar	Thermoproteota	151	0.967049474523207	850.653208080336
1.18955000235302	0.403924449728586	2.94498142697806	0.00376340913508481	trna_gc	Thermoproteota	151	0.967049474523207	850.653208080336
-265.850000107117	68.3736422395116	-3.88819421343461	0.000518713797291827	(Intercept)	Thermoproteota	36	0.954988389926651	203.599819920248
-1.4251779722041e-06	1.46405850283137e-06	-0.973443321730601	0.338117163257514	genome_size	Thermoproteota	36	0.954988389926651	203.599819920248
-0.118450602690129	0.140385690738747	-0.843751254610142	0.405486312272178	gc_content	Thermoproteota	36	0.954988389926651	203.599819920248
461.714910394	114.494836812657	4.03262647685575	0.000349069975933163	frac_ilvwygerkp	Thermoproteota	36	0.954988389926651	203.599819920248
3.94203179398008	10.0258607220031	0.393186371054285	0.696962146974588	ratio_charged_polar	Thermoproteota	36	0.954988389926651	203.599819920248
0.859352788724442	0.540760154262462	1.58915700787257	0.122509702200709	trna_gc	Thermoproteota	36	0.954988389926651	203.599819920248
-128.802447860326	24.1034104387627	-5.34374370745429	1.49302037386105e-07	(Intercept)	Thermoproteota	428	0.987269973475611	1827.98174718555
3.21915517232662e-07	2.18532890353314e-07	1.47307582264713	0.141476056928163	genome_size	Thermoproteota	428	0.987269973475611	1827.98174718555
-0.0276570296479293	0.098611574826202	-0.28046433389461	0.77925872493207	gc_content	Thermoproteota	428	0.987269973475611	1827.98174718555
288.824223203351	40.9435191518782	7.05421100057301	7.15405520667698e-12	frac_ilvwygerkp	Thermoproteota	428	0.987269973475611	1827.98174718555
9.90759492816975	3.94851419207655	2.50919572431859	0.0124743773814602	ratio_charged_polar	Thermoproteota	428	0.987269973475611	1827.98174718555
-0.12619521664637	0.233127358454071	-0.541314487854206	0.588576482339086	trna_gc	Thermoproteota	428	0.987269973475611	1827.98174718555
-263.005461235948	80.5477281564588	-3.26521265410585	0.00255177521716181	(Intercept)	Thermoproteota	39	1.00464670702069	246.529899002563
-2.78891080634463e-08	3.47596573028836e-06	-0.008023412837598	0.993646620564621	genome_size	Thermoproteota	39	1.00464670702069	246.529899002563
0.381574995595839	0.216668550935221	1.76110004866337	0.0874862328864291	gc_content	Thermoproteota	39	1.00464670702069	246.529899002563
451.832072361582	170.797533974327	2.6454250354077	0.0123985756898133	frac_ilvwygerkp	Thermoproteota	39	1.00464670702069	246.529899002563
-3.62134462449718	16.4198760472631	-0.220546404496201	0.826804460532021	ratio_charged_polar	Thermoproteota	39	1.00464670702069	246.529899002563
0.579246615593081	0.410513520761613	1.41102932375631	0.16759449391461	trna_gc	Thermoproteota	39	1.00464670702069	246.529899002563
-76.7730095743735	170.014332676982	-0.451567867047058	0.657288126741394	(Intercept)	Thermoproteota	23	1.01435960961789	99.8711052158248
-4.65066152146053e-06	9.78461324924723e-07	-4.75303561110944	0.000184283030130541	genome_size	Thermoproteota	23	1.01435960961789	99.8711052158248
0.265128049782517	0.199267735642385	1.33051168031701	0.200922794199439	gc_content	Thermoproteota	23	1.01435960961789	99.8711052158248
445.990780224739	280.835652269592	1.58808462038361	0.130691157438623	frac_ilvwygerkp	Thermoproteota	23	1.01435960961789	99.8711052158248
-26.5434991868047	14.3047575466395	-1.85557141393427	0.0809375572657634	ratio_charged_polar	Thermoproteota	23	1.01435960961789	99.8711052158248
-1.32938573488908	1.19637891412371	-1.11117449429706	0.281962296297887	trna_gc	Thermoproteota	23	1.01435960961789	99.8711052158248
-61.0953687243605	58.4689609719891	-1.04491969258064	0.297900285676919	(Intercept)	Thermoproteota	143	0.955192497787297	703.244744078307
-1.84112799231451e-06	9.58912546982198e-07	-1.92001658348172	0.0569341802391829	genome_size	Thermoproteota	143	0.955192497787297	703.244744078307
0.00541955357366855	0.135460484186588	0.0400083729673038	0.968144695748779	gc_content	Thermoproteota	143	0.955192497787297	703.244744078307
117.05387588698	112.666540140959	1.03894089354774	0.300662374534892	frac_ilvwygerkp	Thermoproteota	143	0.955192497787297	703.244744078307
26.1405801436442	10.1604999316351	2.57276515127514	0.0111532511302034	ratio_charged_polar	Thermoproteota	143	0.955192497787297	703.244744078307
0.289137980056981	0.282685044630435	1.0228272968419	0.30819221488036	trna_gc	Thermoproteota	143	0.955192497787297	703.244744078307
-193.076284116465	102.719862408902	-1.87963924005152	0.077409221843036	(Intercept)	Thermoproteota	23	1.03618105648198	127.275530658202
-8.48304189813673e-06	1.45328182561934e-06	-5.83716230987857	1.97992952201362e-05	genome_size	Thermoproteota	23	1.03618105648198	127.275530658202
-0.164175803405126	0.267335806514344	-0.614118271494309	0.547268420693775	gc_content	Thermoproteota	23	1.03618105648198	127.275530658202
384.588753010068	198.007438409085	1.94229447186476	0.0688567516043581	frac_ilvwygerkp	Thermoproteota	23	1.03618105648198	127.275530658202
-26.7858933631576	16.3487738400537	-1.63840381090437	0.119711567830585	ratio_charged_polar	Thermoproteota	23	1.03618105648198	127.275530658202
1.4092512208328	0.654952333251917	2.1516851674315	0.0460884187704869	trna_gc	Thermoproteota	23	1.03618105648198	127.275530658202
-80.9824630598788	36.7140802597741	-2.20576036460342	0.0287580548650346	(Intercept)	Thermoproteota	174	0.895743061542205	703.516113154964
-1.00583305608201e-06	4.13167911720604e-07	-2.43444136765922	0.0159615279282763	genome_size	Thermoproteota	174	0.895743061542205	703.516113154964
-0.01610017853805	0.0664176216816668	-0.242408236404739	0.808759529259536	gc_content	Thermoproteota	174	0.895743061542205	703.516113154964
130.791860201867	66.4809221138625	1.96735929712074	0.0507883270979754	frac_ilvwygerkp	Thermoproteota	174	0.895743061542205	703.516113154964
27.5508234739857	5.36692114377482	5.13345039659142	7.79775265782213e-07	ratio_charged_polar	Thermoproteota	174	0.895743061542205	703.516113154964
0.252652596459809	0.347264124268166	0.727551678401148	0.467900784479392	trna_gc	Thermoproteota	174	0.895743061542205	703.516113154964
-100.450882307129	47.5314960075149	-2.11335410716396	0.0361314351859212	(Intercept)	Thermoproteota	165	0.870292606658111	759.276226510054
-1.45351936116791e-06	4.4658143675584e-07	-3.25476887648286	0.00138660647014505	genome_size	Thermoproteota	165	0.870292606658111	759.276226510054
-0.0534984786192672	0.12301133167963	-0.4349069137679	0.66421970732747	gc_content	Thermoproteota	165	0.870292606658111	759.276226510054
267.816855273657	86.4509252631183	3.09790617577014	0.00230480116641615	frac_ilvwygerkp	Thermoproteota	165	0.870292606658111	759.276226510054
17.6961543140705	9.22689286111932	1.91788878232664	0.0569175637684311	ratio_charged_polar	Thermoproteota	165	0.870292606658111	759.276226510054
-0.461193624796929	0.520949091534121	-0.88529499771039	0.377334421483842	trna_gc	Thermoproteota	165	0.870292606658111	759.276226510054
-264.949876319777	48.6938202887934	-5.44113965074852	2.09143130956621e-07	(Intercept)	Thermoproteota	157	0.615895016406021	989.759176278699
-2.2497746857669e-06	2.10757982785189e-06	-1.06746831414682	0.287464072364872	genome_size	Thermoproteota	157	0.615895016406021	989.759176278699
-0.0181067518627546	0.123323987287983	-0.14682262762452	0.883467867682631	gc_content	Thermoproteota	157	0.615895016406021	989.759176278699
484.119603899355	95.5631681124298	5.06596436118348	1.17050402639462e-06	frac_ilvwygerkp	Thermoproteota	157	0.615895016406021	989.759176278699
4.55663585547452	10.407169742161	0.437836219487697	0.662130661276322	ratio_charged_polar	Thermoproteota	157	0.615895016406021	989.759176278699
0.465536773865053	0.203431468253942	2.28842065517576	0.0235003552276249	trna_gc	Thermoproteota	157	0.615895016406021	989.759176278699
-209.174243662386	26.4763834397006	-7.90040845792917	3.11741898463295e-14	(Intercept)	Thermoproteota	381	0.797258491844061	2276.98673283465
-2.23012913617471e-06	8.0647960819358e-07	-2.76526413503491	0.00596879964598907	genome_size	Thermoproteota	381	0.797258491844061	2276.98673283465
0.0410736373235636	0.0695804009987536	0.590304694051696	0.555341942345788	gc_content	Thermoproteota	381	0.797258491844061	2276.98673283465
390.011872218422	49.7281829577091	7.84287398053744	4.62616850610452e-14	frac_ilvwygerkp	Thermoproteota	381	0.797258491844061	2276.98673283465
0.67613968846401	4.94854823943987	0.136633949139908	0.891393463476382	ratio_charged_polar	Thermoproteota	381	0.797258491844061	2276.98673283465
0.560225664806928	0.121530251719548	4.6097630580059	5.53610368043581e-06	trna_gc	Thermoproteota	381	0.797258491844061	2276.98673283465
-252.811392713872	44.1261257695147	-5.72929048959315	2.41275178540759e-08	(Intercept)	Thermoproteota	312	0.937225343055891	1718.86618221445
7.02912854396004e-07	5.28301763254829e-07	1.33051392837572	0.184339660475088	genome_size	Thermoproteota	312	0.937225343055891	1718.86618221445
-0.0641997396720117	0.104273376519213	-0.615686782332042	0.538558923870049	gc_content	Thermoproteota	312	0.937225343055891	1718.86618221445
419.618982450355	83.9962223235375	4.9956887445969	9.8745754029994e-07	frac_ilvwygerkp	Thermoproteota	312	0.937225343055891	1718.86618221445
8.66651920471384	8.91542984012289	0.972080915909532	0.331778059628344	ratio_charged_polar	Thermoproteota	312	0.937225343055891	1718.86618221445
0.670862575212569	0.3223737730914	2.08100854104643	0.0382644919866373	trna_gc	Thermoproteota	312	0.937225343055891	1718.86618221445
-110.742019647565	52.2677692250383	-2.11874394659482	0.036564870405799	(Intercept)	Thermoproteota	107	0.877595519990266	479.806449210302
2.6126865716119e-06	1.15028700431377e-06	2.27133451200777	0.0252481982936408	genome_size	Thermoproteota	107	0.877595519990266	479.806449210302
-0.194059931583839	0.0960613770132232	-2.02016603985518	0.0460139334234718	gc_content	Thermoproteota	107	0.877595519990266	479.806449210302
46.9943206816599	95.1607176046741	0.493841596244453	0.622490312531224	frac_ilvwygerkp	Thermoproteota	107	0.877595519990266	479.806449210302
20.9312323639695	11.0455761940399	1.89498782103046	0.0609537680019204	ratio_charged_polar	Thermoproteota	107	0.877595519990266	479.806449210302
